========================================
Daily Automation Started: Tue Dec 23 06:59:58 EST 2025
========================================
/Users/musacomma/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-12-23 07:00:02,931 - __main__ - INFO - ============================================================
2025-12-23 07:00:02,932 - __main__ - INFO - ACTION: Generate Posts & Images (7 Days)
2025-12-23 07:00:02,932 - __main__ - INFO - ============================================================
2025-12-23 07:00:04,901 - execution.airtable_integration - INFO - Cleaned up 0 old posted records
2025-12-23 07:00:04,903 - __main__ - INFO - Cleaned up 0 old posted records
2025-12-23 07:00:04,904 - execution.linkedin_scheduler - INFO - Generated 21 randomized posting times over 7 days
2025-12-23 07:00:04,904 - execution.research_content - INFO - Starting daily content generation (21 posts)
2025-12-23 07:00:04,907 - execution.research_content - INFO - Researching topic: AI automation for business
2025-12-23 07:00:04,907 - execution.research_content - INFO - Researching topic: Workflow optimization
2025-12-23 07:04:44,168 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-23 07:04:44,268 - execution.research_content - INFO - Generated 21 ideas for Workflow optimization
2025-12-23 12:05:26,605 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.471391 seconds
2025-12-23 12:05:27,174 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.801946 seconds
2025-12-23 12:05:28,054 - execution.research_content - ERROR - Error researching topic AI automation for business: Connection error.
2025-12-23 12:05:30,074 - execution.research_content - INFO - Researching topic: Business process automation
2025-12-23 12:05:30,074 - execution.research_content - INFO - Researching topic: AI implementation strategies
2025-12-23 12:05:30,081 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.456844 seconds
2025-12-23 12:05:30,081 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.406181 seconds
2025-12-23 12:05:30,557 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.834091 seconds
2025-12-23 12:05:30,577 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.912467 seconds
2025-12-23 12:05:31,449 - execution.research_content - ERROR - Error researching topic AI implementation strategies: Connection error.
2025-12-23 12:05:31,542 - execution.research_content - ERROR - Error researching topic Business process automation: Connection error.
2025-12-23 12:05:33,586 - execution.research_content - INFO - Researching topic: Prompt engineering for productivity
2025-12-23 12:05:33,587 - execution.research_content - INFO - Researching topic: Business efficiency tips
2025-12-23 12:05:33,596 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.447943 seconds
2025-12-23 12:05:33,596 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.487049 seconds
2025-12-23 12:05:34,057 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.884450 seconds
2025-12-23 12:05:34,161 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.973638 seconds
2025-12-23 12:05:35,019 - execution.research_content - ERROR - Error researching topic Business efficiency tips: Connection error.
2025-12-23 12:05:35,193 - execution.research_content - ERROR - Error researching topic Prompt engineering for productivity: Connection error.
2025-12-23 12:05:37,223 - execution.research_content - INFO - Researching topic: Automation ROI
2025-12-23 12:05:37,230 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.445006 seconds
2025-12-23 12:05:37,747 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.788261 seconds
2025-12-23 12:05:38,569 - execution.research_content - ERROR - Error researching topic Automation ROI: Connection error.
2025-12-23 12:05:38,580 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.464600 seconds
2025-12-23 12:05:38,582 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.458792 seconds
2025-12-23 12:05:38,583 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.494501 seconds
2025-12-23 12:05:39,099 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.966720 seconds
2025-12-23 12:05:39,116 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.955369 seconds
2025-12-23 12:05:39,156 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.759497 seconds
2025-12-23 12:05:39,988 - execution.research_content - ERROR - Error generating post content: Connection error.
2025-12-23 12:05:40,138 - execution.research_content - ERROR - Error generating post content: Connection error.
2025-12-23 12:05:40,147 - execution.research_content - ERROR - Error generating post content: Connection error.
2025-12-23 12:05:43,181 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.457624 seconds
2025-12-23 12:05:43,182 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.484096 seconds
2025-12-23 12:05:43,183 - anthropic._base_client - INFO - Retrying request to /v1/messages in 0.447269 seconds
