========================================
Daily Automation Started: Sun Dec 28 06:00:05 EST 2025
========================================
/Users/musacomma/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-12-28 06:00:07,074 - __main__ - INFO - ============================================================
2025-12-28 06:00:07,075 - __main__ - INFO - ACTION: Generate Posts & Images (7 Days)
2025-12-28 06:00:07,075 - __main__ - INFO - ============================================================
2025-12-28 06:00:07,959 - execution.airtable_integration - INFO - Cleaned up 0 old posted records
2025-12-28 06:00:07,962 - __main__ - INFO - Cleaned up 0 old posted records
2025-12-28 06:00:07,963 - execution.linkedin_scheduler - INFO - Generated 21 randomized posting times over 7 days
2025-12-28 06:00:07,963 - execution.research_content - INFO - Starting daily content generation (21 posts)
2025-12-28 06:00:07,967 - execution.research_content - INFO - Researching topic: AI automation for business
2025-12-28 06:00:07,967 - execution.research_content - INFO - Researching topic: Workflow optimization
2025-12-28 06:01:00,727 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:01:00,760 - execution.research_content - INFO - Generated 21 ideas for Workflow optimization
2025-12-28 06:01:03,153 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:01:03,158 - execution.research_content - INFO - Generated 21 ideas for AI automation for business
2025-12-28 06:01:05,275 - execution.research_content - INFO - Researching topic: Business process automation
2025-12-28 06:01:05,275 - execution.research_content - INFO - Researching topic: AI implementation strategies
2025-12-28 06:01:59,187 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:01:59,193 - execution.research_content - INFO - Generated 21 ideas for Business process automation
2025-12-28 06:02:00,555 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:02:00,560 - execution.research_content - INFO - Generated 21 ideas for AI implementation strategies
2025-12-28 06:02:02,708 - execution.research_content - INFO - Researching topic: Prompt engineering for productivity
2025-12-28 06:02:02,709 - execution.research_content - INFO - Researching topic: Business efficiency tips
2025-12-28 06:02:47,798 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:02:47,807 - execution.research_content - INFO - Generated 21 ideas for Prompt engineering for productivity
2025-12-28 06:02:52,987 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:02:53,001 - execution.research_content - INFO - Generated 21 ideas for Business efficiency tips
2025-12-28 06:02:55,144 - execution.research_content - INFO - Researching topic: Automation ROI
2025-12-28 06:03:48,869 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:03:48,877 - execution.research_content - INFO - Generated 21 ideas for Automation ROI
2025-12-28 06:03:58,636 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:03:58,654 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:00,043 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:05,811 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:05,814 - execution.research_content - INFO - Generated post content for: The Monday Morning Audit That Saves My Week (Framework: Storytelling)
2025-12-28 06:04:06,861 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:06,865 - execution.research_content - INFO - Generated post content for: Copy This Prompt to Create SOPs in 10 Minutes (Framework: BAB (Before-After-Bridge))
2025-12-28 06:04:09,482 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:09,487 - execution.research_content - INFO - Generated post content for: Why 67% of AI Projects Fail (Framework: How-To Guide)
2025-12-28 06:04:23,095 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:23,316 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:25,022 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:31,537 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:31,541 - execution.research_content - INFO - Generated post content for: How a Law Firm Cut Contract Review by 70% (Framework: PAS (Problem-Agitate-Solution))
2025-12-28 06:04:31,884 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:31,887 - execution.research_content - INFO - Generated post content for: Create a Self-Running Weekly Report in Under 1 Hour (Framework: BAB (Before-After-Bridge))
2025-12-28 06:04:34,638 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:34,642 - execution.research_content - INFO - Generated post content for: The Customer Research Prompt Stack (Framework: BAB (Before-After-Bridge))
2025-12-28 06:04:48,568 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:48,685 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:48,805 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:56,756 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:56,760 - execution.research_content - INFO - Generated post content for: Hiring on Autopilot: 200 Applicants, Zero Headaches (Framework: Question-Answer)
2025-12-28 06:04:58,029 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:58,032 - execution.research_content - INFO - Generated post content for: The Hidden Cost of Bad Prompts (Framework: Storytelling)
2025-12-28 06:04:59,490 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:04:59,493 - execution.research_content - INFO - Generated post content for: The SOW Generator That Closes Deals (Framework: Case Study)
2025-12-28 06:05:12,360 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:13,382 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:13,604 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:21,664 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:21,668 - execution.research_content - INFO - Generated post content for: From 200 Manual Data Entries to Zero (Framework: BAB (Before-After-Bridge))
2025-12-28 06:05:21,778 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:21,781 - execution.research_content - INFO - Generated post content for: Month 1 vs Month 12: What Automation ROI Really Looks Like (Framework: Question-Answer)
2025-12-28 06:05:21,798 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:21,801 - execution.research_content - INFO - Generated post content for: The Automation Audit: Do This Monthly (Framework: BAB (Before-After-Bridge))
2025-12-28 06:05:34,436 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:34,546 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:35,258 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:40,996 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:40,999 - execution.research_content - INFO - Generated post content for: Your Competitors Are Automating This Right Now (Framework: Listicle)
2025-12-28 06:05:41,839 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:41,841 - execution.research_content - INFO - Generated post content for: Small Business AI Adoption Just Hit a Tipping Point (Framework: Question-Answer)
2025-12-28 06:05:45,241 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:45,245 - execution.research_content - INFO - Generated post content for: Why Your Automation ROI Calculations Are Probably Wrong (Framework: Listicle)
2025-12-28 06:05:58,273 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-12-28 06:05:58,577 - httpx - INFO - HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
